date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:37	22256/22256	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2020:39:37%20GMT	http://quinielasbros.com/quiniela/6	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/quiniela/6.html	(from )
14:39:37	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Dec%202023%2020:39:37%20GMT	http://quinielasbros.com/robots.txt		(from )
14:39:39	172550/172550	---M--	200	added ('OK')	text/css	etag:%221d9b2c0f7822606%22	http://quinielasbros.com/lib/bootstrap/superhero/bootstrap.min.css	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/lib/bootstrap/superhero/bootstrap.min.css	(from http://quinielasbros.com/quiniela/6)
14:39:39	1800/1800	---M--	200	added ('OK')	text/css	etag:%221d9b2c0fbaca688%22	http://quinielasbros.com/css/styles.css	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/css/styles.css	(from http://quinielasbros.com/quiniela/6)
14:39:40	4202/4202	---M--	200	added ('OK')	image/png	etag:%221d9b2c1357db86a%22	http://quinielasbros.com/flags/638168241629828885.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638168241629828885.png	(from http://quinielasbros.com/quiniela/6)
14:39:41	5560/5560	---M--	200	added ('OK')	image/png	etag:%221d9b2c120086bb8%22	http://quinielasbros.com/flags/638159077015036498.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638159077015036498.png	(from http://quinielasbros.com/quiniela/6)
14:39:41	5019/5019	---M--	200	added ('OK')	image/png	etag:%221da266b3695f79b%22	http://quinielasbros.com/flags/638372396889808976.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638372396889808976.png	(from http://quinielasbros.com/quiniela/6)
14:39:41	2833/2833	---M--	200	added ('OK')	image/png	etag:%221d9b2c1023b1211%22	http://quinielasbros.com/flags/638122539472687724.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638122539472687724.png	(from http://quinielasbros.com/quiniela/6)
14:39:42	4108/4108	---M--	200	added ('OK')	image/png	etag:%221d9b2c1141cac0c%22	http://quinielasbros.com/flags/638205272005374283.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638205272005374283.png	(from http://quinielasbros.com/quiniela/6)
14:39:42	5332/5332	---M--	200	added ('OK')	image/png	etag:%221d9b2c120086ad4%22	http://quinielasbros.com/flags/638122539865195083.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638122539865195083.png	(from http://quinielasbros.com/quiniela/6)
14:39:42	22940/22940	---M--	200	added ('OK')	image/png	etag:%221d9b2c184c3811c%22	http://quinielasbros.com/bros_logo.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/bros_logo.png	(from http://quinielasbros.com/quiniela/6)
